Order,Publish Date,Title,Story Arc,Detail Link
88,09/1963,Strange Tales (1951) #112,-,https://cmro.travis-starnes.com/detail.php?idvalue=77
89,10/1963,Strange Tales Annual (1962) #2,-,https://cmro.travis-starnes.com/detail.php?idvalue=78
90,07/1963,Fantastic Four Annual (1963) #1 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=79
91,07/1963,Fantastic Four Annual (1963) #1 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16984
92,09/1963,Journey into Mystery (1952) #96 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=80
93,09/1963,Journey into Mystery (1952) #96 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=26227
94,09/1963,Avengers (1963) #1,-,https://cmro.travis-starnes.com/detail.php?idvalue=81
95,09/1963,Tales of Suspense (1959) #45,-,https://cmro.travis-starnes.com/detail.php?idvalue=82
96,09/1963,Tales to Astonish (1958) #47,-,https://cmro.travis-starnes.com/detail.php?idvalue=83
97,10/1963,Strange Tales (1951) #113,-,https://cmro.travis-starnes.com/detail.php?idvalue=84
98,10/1963,Fantastic Four (1961) #19,-,https://cmro.travis-starnes.com/detail.php?idvalue=85
99,10/1963,Journey into Mystery (1952) #97 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=86
100,10/1963,Journey into Mystery (1952) #97 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16349
101,10/1963,Tales of Suspense (1959) #46,-,https://cmro.travis-starnes.com/detail.php?idvalue=87
102,10/1963,Tales to Astonish (1958) #48,-,https://cmro.travis-starnes.com/detail.php?idvalue=88
103,11/1963,Strange Tales (1951) #114 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=89
104,11/1963,Strange Tales (1951) #114 [B Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16219
105,11/1963,Fantastic Four (1961) #20,-,https://cmro.travis-starnes.com/detail.php?idvalue=90
106,11/1963,X-Men (1963) #2,-,https://cmro.travis-starnes.com/detail.php?idvalue=91
